latitude,longitude,spatial_ref,X5_mean_summer_temp
22.5,100.25,0,20.430495643185036
22.5,100.5,0,24.07222015057838
22.5,100.75,0,23.704589252896316
22.5,101.0,0,23.062289682246096
22.5,101.25,0,21.758820592432457
22.5,101.5,0,22.3667727145652
22.5,101.75,0,22.79748511464275
22.5,102.0,0,21.950405200863525
22.5,102.25,0,23.839554741315208
22.5,103.0,0,20.50257075176081
22.5,106.75,0,27.19545791547897
22.5,107.0,0,27.225838297166902
22.5,107.25,0,27.585738680054085
22.5,107.5,0,27.716958973790515
22.5,107.75,0,27.736066106862097
22.5,108.0,0,27.801620811559676
22.5,108.25,0,27.94167817638527
22.5,108.5,0,27.955412166287235
22.5,108.75,0,27.81002744138745
22.5,109.0,0,27.740098971536064
22.5,109.25,0,27.750587500121448
22.5,109.5,0,27.103538988353765
22.5,109.75,0,26.793351424530908
22.5,110.0,0,27.728738652179175
22.5,110.25,0,27.985897333068973
22.5,110.5,0,27.2641648866825
22.5,110.75,0,26.792559416671157
22.5,111.0,0,27.087561706660594
22.5,111.25,0,25.518347676455736
22.5,111.5,0,26.82636644194148
22.5,111.75,0,27.01657323556165
22.5,112.0,0,27.597345430867993
22.5,112.25,0,25.4735687095969
22.5,112.5,0,28.338706574522547
22.5,112.75,0,28.39320924268134
22.5,113.0,0,28.653531524141755
22.5,113.25,0,28.795095451286162
22.5,113.5,0,28.50941841893648
22.5,114.0,0,28.84818488371013
22.5,114.25,0,28.53193384467869
22.5,114.5,0,28.110545099514535
22.5,120.5,0,30.39626026976574
22.5,120.75,0,21.11533333115727
22.75,99.5,0,20.170538905310025
22.75,99.75,0,18.693851077070693
22.75,100.0,0,21.07516669077591
22.75,100.25,0,22.256787223453347
22.75,100.5,0,22.66084728323051
22.75,100.75,0,23.962531304166138
22.75,101.0,0,21.88167937394751
22.75,101.25,0,22.761785231036576
22.75,101.5,0,20.113660123126184
22.75,101.75,0,20.246782533108483
22.75,102.0,0,23.42032932142736
22.75,102.25,0,23.177941439360097
22.75,102.75,0,25.281069514852458
22.75,103.0,0,22.147169651211907
22.75,103.25,0,20.524420581169192
22.75,103.5,0,18.4478672644384
22.75,103.75,0,26.17653362574563
22.75,107.0,0,26.729694868095194
22.75,107.25,0,26.963073649957348
22.75,107.5,0,27.643325248163816
22.75,107.75,0,27.42980822837042
22.75,108.0,0,27.997991385944385
22.75,108.25,0,28.068151020612103
22.75,108.5,0,28.089334214167646
22.75,108.75,0,28.006563606544095
22.75,109.0,0,27.998880153858877
22.75,109.25,0,28.069259529743917
22.75,109.5,0,27.810053891290952
22.75,109.75,0,27.57673327786131
22.75,110.0,0,26.547688161172694
22.75,110.25,0,28.072526157975428
22.75,110.5,0,27.73729224739407
22.75,110.75,0,26.101782279304697
22.75,111.0,0,26.29342215537399
