longitude,latitude,Y1_heavy_rain_prob,Y2_heavy_rain_intensity,X6_mean_annual_precip
72.375,43.375,0.0,,-36489.316
72.375,43.625,0.0,,-36489.316
72.375,43.875,0.0,,-36489.316
72.375,44.125,0.0,,-36489.316
72.375,44.375,0.0,,-36489.316
72.375,44.625,0.0,,-36489.316
72.375,44.875,0.0,,-36489.316
72.375,45.125,0.0,,-36489.316
72.375,45.375,0.0,,-36489.316
72.375,45.625,0.0,,-36489.316
72.375,45.875,0.0,,-36489.316
72.375,46.125,0.0,,-36489.316
72.375,46.375,0.0,,-36489.316
72.375,46.625,0.0,,-36489.316
72.375,46.875,0.0,,-36489.316
72.375,47.125,0.0,,-36489.316
72.375,47.375,0.0,,-36489.316
72.375,47.625,0.0,,-36489.316
72.375,47.875,0.0,,-36489.316
72.375,48.125,0.0,,-36489.316
72.375,48.375,0.0,,-36489.316
72.375,48.625,0.0,,-36489.316
72.375,48.875,0.0,,-36489.316
72.375,49.125,0.0,,-36489.316
72.375,49.375,0.0,,-36489.316
72.375,49.625,0.0,,-36489.316
72.375,49.875,0.0,,-36489.316
72.375,50.125,0.0,,-36489.316
72.375,50.375,0.0,,-36489.316
72.375,50.625,0.0,,-36489.316
72.375,50.875,0.0,,-36489.316
72.375,51.125,0.0,,-36489.316
72.375,51.375,0.0,,-36489.316
72.375,51.625,0.0,,-36489.316
72.375,51.875,0.0,,-36489.316
72.375,52.125,0.0,,-36489.316
72.375,52.375,0.0,,-36489.316
72.375,52.625,0.0,,-36489.316
72.375,52.875,0.0,,-36489.316
72.375,53.125,0.0,,-36489.316
72.375,53.375,0.0,,-36489.316
72.375,53.625,0.0,,-36489.316
72.375,53.875,0.0,,-36489.316
72.625,18.125,0.0,,-36489.316
72.625,18.375,0.0,,-36489.316
72.625,18.625,0.0,,-36489.316
72.625,18.875,0.0,,-36489.316
72.625,19.125,0.0,,-36489.316
72.625,19.375,0.0,,-36489.316
72.625,19.625,0.0,,-36489.316
72.625,19.875,0.0,,-36489.316
72.625,20.125,0.0,,-36489.316
72.625,20.375,0.0,,-36489.316
72.625,20.625,0.0,,-36489.316
72.625,20.875,0.0,,-36489.316
72.625,21.125,0.0,,-36489.316
72.625,21.375,0.0,,-36489.316
72.625,21.625,0.0,,-36489.316
72.625,21.875,0.0,,-36489.316
72.625,22.125,0.0,,-36489.316
72.625,22.375,0.0,,-36489.316
72.625,22.625,0.0,,-36489.316
72.625,22.875,0.0,,-36489.316
72.625,23.125,0.0,,-36489.316
72.625,23.375,0.0,,-36489.316
72.625,23.625,0.0,,-36489.316
72.625,23.875,0.0,,-36489.316
72.625,24.125,0.0,,-36489.316
72.625,24.375,0.0,,-36489.316
72.625,24.625,0.0,,-36489.316
72.625,24.875,0.0,,-36489.316
72.625,25.125,0.0,,-36489.316
72.625,25.375,0.0,,-36489.316
72.625,25.625,0.0,,-36489.316
72.625,25.875,0.0,,-36489.316
72.625,26.125,0.0,,-36489.316
72.625,26.375,0.0,,-36489.316
72.625,26.625,0.0,,-36489.316
72.625,26.875,0.0,,-36489.316
72.625,27.125,0.0,,-36489.316
72.625,27.375,0.0,,-36489.316
72.625,27.625,0.0,,-36489.316
72.625,27.875,0.0,,-36489.316
72.625,28.125,0.0,,-36489.316
72.625,28.375,0.0,,-36489.316
72.625,28.625,0.0,,-36489.316
72.625,28.875,0.0,,-36489.316
72.625,29.125,0.0,,-36489.316
72.625,29.375,0.0,,-36489.316
72.625,29.625,0.0,,-36489.316
72.625,29.875,0.0,,-36489.316
72.625,30.125,0.0,,-36489.316
72.625,30.375,0.0,,-36489.316
72.625,30.625,0.0,,-36489.316
72.625,30.875,0.0,,-36489.316
72.625,31.125,0.0,,-36489.316
72.625,31.375,0.0,,-36489.316
72.625,31.625,0.0,,-36489.316
72.625,31.875,0.0,,-36489.316
72.625,32.125,0.0,,-36489.316
72.625,32.375,0.0,,-36489.316
72.625,32.625,0.0,,-36489.316
72.625,32.875,0.0,,-36489.316
72.625,33.125,0.0,,-36489.316
72.625,33.375,0.0,,-36489.316
72.625,33.625,0.0,,-36489.316
72.625,33.875,0.0,,-36489.316
72.625,34.125,0.0,,-36489.316
72.625,34.375,0.0,,-36489.316
72.625,34.625,0.0,,-36489.316
72.625,34.875,0.0,,-36489.316
72.625,35.125,0.0,,-36489.316
72.625,35.375,0.0,,-36489.316
72.625,35.625,0.0,,-36489.316
72.625,35.875,0.0,,-36489.316
72.625,36.125,0.0,,-36489.316
72.625,36.375,0.0,,-36489.316
72.625,36.625,0.0,,-36489.316
72.625,36.875,0.0,,-36489.316
72.625,37.125,0.0,,-36489.316
72.625,37.375,0.0,,-36489.316
72.625,37.625,0.0,,-36489.316
72.625,37.875,0.0,,-36489.316
72.625,38.125,0.0,,-36489.316
72.625,38.375,0.0,,-36489.316
72.625,38.625,0.0,,-36489.316
72.625,38.875,0.0,,-36489.316
72.625,39.125,0.0,,-36489.316
72.625,39.375,0.0,,-36489.316
72.625,39.625,0.0,,-36489.316
72.625,39.875,0.0,,-36489.316
72.625,40.125,0.0,,-36489.316
72.625,40.375,0.0,,-36489.316
72.625,40.625,0.0,,-36489.316
72.625,40.875,0.0,,-36489.316
72.625,41.125,0.0,,-36489.316
72.625,41.375,0.0,,-36489.316
72.625,41.625,0.0,,-36489.316
72.625,41.875,0.0,,-36489.316
72.625,42.125,0.0,,-36489.316
72.625,42.375,0.0,,-36489.316
72.625,42.625,0.0,,-36489.316
72.625,42.875,0.0,,-36489.316
72.625,43.125,0.0,,-36489.316
72.625,43.375,0.0,,-36489.316
72.625,43.625,0.0,,-36489.316
72.625,43.875,0.0,,-36489.316
72.625,44.125,0.0,,-36489.316
72.625,44.375,0.0,,-36489.316
72.625,44.625,0.0,,-36489.316
72.625,44.875,0.0,,-36489.316
72.625,45.125,0.0,,-36489.316
72.625,45.375,0.0,,-36489.316
72.625,45.625,0.0,,-36489.316
72.625,45.875,0.0,,-36489.316
72.625,46.125,0.0,,-36489.316
72.625,46.375,0.0,,-36489.316
72.625,46.625,0.0,,-36489.316
72.625,46.875,0.0,,-36489.316
72.625,47.125,0.0,,-36489.316
72.625,47.375,0.0,,-36489.316
72.625,47.625,0.0,,-36489.316
72.625,47.875,0.0,,-36489.316
72.625,48.125,0.0,,-36489.316
72.625,48.375,0.0,,-36489.316
72.625,48.625,0.0,,-36489.316
72.625,48.875,0.0,,-36489.316
72.625,49.125,0.0,,-36489.316
72.625,49.375,0.0,,-36489.316
72.625,49.625,0.0,,-36489.316
72.625,49.875,0.0,,-36489.316
72.625,50.125,0.0,,-36489.316
72.625,50.375,0.0,,-36489.316
72.625,50.625,0.0,,-36489.316
72.625,50.875,0.0,,-36489.316
72.625,51.125,0.0,,-36489.316
72.625,51.375,0.0,,-36489.316
72.625,51.625,0.0,,-36489.316
72.625,51.875,0.0,,-36489.316
72.625,52.125,0.0,,-36489.316
72.625,52.375,0.0,,-36489.316
72.625,52.625,0.0,,-36489.316
72.625,52.875,0.0,,-36489.316
72.625,53.125,0.0,,-36489.316
72.625,53.375,0.0,,-36489.316
72.625,53.625,0.0,,-36489.316
72.625,53.875,0.0,,-36489.316
72.875,18.125,0.0,,-36489.316
72.875,18.375,0.0,,-36489.316
72.875,18.625,0.0,,-36489.316
72.875,18.875,0.0,,-36489.316
72.875,19.125,0.0,,-36489.316
72.875,19.375,0.0,,-36489.316
72.875,19.625,0.0,,-36489.316
72.875,19.875,0.0,,-36489.316
72.875,20.125,0.0,,-36489.316
72.875,20.375,0.0,,-36489.316
72.875,20.625,0.0,,-36489.316
72.875,20.875,0.0,,-36489.316
72.875,21.125,0.0,,-36489.316
72.875,21.375,0.0,,-36489.316
72.875,21.625,0.0,,-36489.316
72.875,21.875,0.0,,-36489.316
72.875,22.125,0.0,,-36489.316
72.875,22.375,0.0,,-36489.316
72.875,22.625,0.0,,-36489.316
72.875,22.875,0.0,,-36489.316
72.875,23.125,0.0,,-36489.316
72.875,23.375,0.0,,-36489.316
72.875,23.625,0.0,,-36489.316
72.875,23.875,0.0,,-36489.316
72.875,24.125,0.0,,-36489.316
72.875,24.375,0.0,,-36489.316
72.875,24.625,0.0,,-36489.316
72.875,24.875,0.0,,-36489.316
72.875,25.125,0.0,,-36489.316
72.875,25.375,0.0,,-36489.316
72.875,25.625,0.0,,-36489.316
72.875,25.875,0.0,,-36489.316
72.875,26.125,0.0,,-36489.316
72.875,26.375,0.0,,-36489.316
72.875,26.625,0.0,,-36489.316
72.875,26.875,0.0,,-36489.316
72.875,27.125,0.0,,-36489.316
72.875,27.375,0.0,,-36489.316
72.875,27.625,0.0,,-36489.316
72.875,27.875,0.0,,-36489.316
72.875,28.125,0.0,,-36489.316
72.875,28.375,0.0,,-36489.316
72.875,28.625,0.0,,-36489.316
